A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
B,,C169_2,C169_3,C169_CYCLE6,C169_IF400,C169_IFMIN,C169_SPLT0,C169_SPLT1,C169_SPLT2,C16_TFB,C17,C171,C172,C17301,C17301_0,C17301_1,C17301_2,C17301_3,C17301_4,C173A,C173A_0,C173A_1,C173A_2,C173A_3,C173A_4,C173B,C173B_SAC,C173B_STCR,C173B_STCR_NODOS,C173B_STCR_TCCA,C174,C17501,C17502,C17502A,C17502B,C17601,C17602,C17603,C177A,C177B,C177C,C177D,C177E,C18,C180,C181,C182,C183,C18302,C184A,C184B,C18_CVP,C18_FWUA,C18_SWP,C20,C200A,C200B,C201,C202,C203,C203_BASE,C203_DELTA,C203_UPSTREAM,C203_WTS,C203_WTS_STG1,C203_WTS_STG2,C204,C205,C206,C207,C208,C209,C209_AG,C209_BC,C209_GW,C209_MI,C209_NP,C209_NP_DR,C209_NP_EXC,C209_PAG,C209_PGW,C209_PIMI,C209_POMI,C209_PRJ,C209_PRJ_DR,C209_PRJ_EXC,C209_PWR,C209_RG,C212,C214,C215,C216A,C216B,C217A,C217B,C219,C220A,C220B,C221,C223,C225,C230,C25,C28,C282,C283,C285,C29,C3,C30,C300,C301,C302,C303,C305,C306,C306NP_IMI,C306NP_OTHER,C306PRJ_IMI,C306PRJ_OTHER,C306_IMI,C306_NP,C306_OTHER,C306_PLS,C306_PRJ,C308,C30A,C30C,C31,C31A,C32,C32A,C32B,C32B_GCC,C32B_TCC,C32C,C33,C34,C3_BASE,C3_DELTA,C3_UPSTREAM,C4,C40,C400,C401A,C401B,C402A,C402B,C404,C405,C406,C406_BASE,C406_DELTA,C406_UPSTREAM,C407,C407_ANN,C407_CVP,C407_SWP,C407_WHLCV,C407_WHLJP,C407_WTS,C407_WTS_STG1,C407_WTS_STG2,C408,C408PRE,C408SET,C408UP,C408_NOEXP1,C409,C41,C410,C411,C412,C413,C414,C416A,C416A_NOEXP1,C416B,C417A,C417B,C417BDV,C418,C42,C421,C421_BTH,C421_TFR,C422,C422_FILL,C422_FILL_CC,C422_FILL_P,C422_KC,C422_REL,C422_RELPWHLSBE1,C422_RELPWHLSBE2,C422_RELPWHLSFE1,C422_RELPWHLSFE2,C422_REL_CC,C422_REL_P,C422_REL_P_DEL,C422_REL_P_WHL,C422_REL_P_WHLSB
C,,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL,FLOW-CHANNEL
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E,2020D09E
Units,,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS,CFS
Type,,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
1,31Oct1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30Nov1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31Dec1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31Jan1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
